block_id,drug_row,drug_col,conc_r,conc_C,response,conc_r_unit,conc_c_unit,cell
1,BMS-754807,LY3009120,0,0,0,nM,nM,HEK293
1,BMS-754807,LY3009120,0,10,0,nM,nM,HEK293
1,BMS-754807,LY3009120,0,30,0,nM,nM,HEK293
1,BMS-754807,LY3009120,0,100,0,nM,nM,HEK293
1,BMS-754807,LY3009120,0,300,0,nM,nM,HEK293
1,BMS-754807,LY3009120,0,1000,11.4504709189145,nM,nM,HEK293
1,BMS-754807,LY3009120,0,3000,25.4077654605246,nM,nM,HEK293
1,BMS-754807,LY3009120,0,10000,39.1241365639438,nM,nM,HEK293
1,BMS-754807,LY3009120,10,0,20.5872635875228,nM,nM,HEK293
1,BMS-754807,LY3009120,10,10,7.4848914573835,nM,nM,HEK293
1,BMS-754807,LY3009120,10,30,13.8820695018374,nM,nM,HEK293
1,BMS-754807,LY3009120,10,100,20.3331249396421,nM,nM,HEK293
1,BMS-754807,LY3009120,10,300,22.4424757170522,nM,nM,HEK293
1,BMS-754807,LY3009120,10,1000,36.29811479951,nM,nM,HEK293
1,BMS-754807,LY3009120,10,3000,40.3582338380527,nM,nM,HEK293
1,BMS-754807,LY3009120,10,10000,53.8153835206335,nM,nM,HEK293
1,BMS-754807,LY3009120,30,0,23.365507286155,nM,nM,HEK293
1,BMS-754807,LY3009120,30,10,8.0348474913974,nM,nM,HEK293
1,BMS-754807,LY3009120,30,30,10.2316219636785,nM,nM,HEK293
1,BMS-754807,LY3009120,30,100,19.0451502721825,nM,nM,HEK293
1,BMS-754807,LY3009120,30,300,28.366955876448,nM,nM,HEK293
1,BMS-754807,LY3009120,30,1000,40.0197211590755,nM,nM,HEK293
1,BMS-754807,LY3009120,30,3000,47.6703110148773,nM,nM,HEK293
1,BMS-754807,LY3009120,30,10000,58.9693152996549,nM,nM,HEK293
1,BMS-754807,LY3009120,100,0,33.3551892570511,nM,nM,HEK293
1,BMS-754807,LY3009120,100,10,22.7718394047056,nM,nM,HEK293
