block_id,drug_row,drug_col,conc_r,conc_C,response,conc_r_unit,conc_c_unit,cell
1,Everolimus,Dactolisib,0,0,90,nM,nM,BT-549
1,Everolimus,Dactolisib,0,0.3,90,nM,nM,BT-549
1,Everolimus,Dactolisib,0,1,95,nM,nM,BT-549
1,Everolimus,Dactolisib,0,3,90,nM,nM,BT-549
1,Everolimus,Dactolisib,0,10,81,nM,nM,BT-549
1,Everolimus,Dactolisib,0,30,59,nM,nM,BT-549
1,Everolimus,Dactolisib,0,100,39,nM,nM,BT-549
1,Everolimus,Dactolisib,0,300,29,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,0,99,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,0.3,93,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,1,93,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,3,84,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,10,73,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,30,48,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,100,33,nM,nM,BT-549
1,Everolimus,Dactolisib,0.1,300,30,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,0,80,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,0.3,86,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,1,83,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,3,75,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,10,58,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,30,44,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,100,31,nM,nM,BT-549
1,Everolimus,Dactolisib,0.3,300,31,nM,nM,BT-549
1,Everolimus,Dactolisib,1,0,78,nM,nM,BT-549
1,Everolimus,Dactolisib,1,0.3,80,nM,nM,BT-549
1,Everolimus,Dactolisib,1,1,81,nM,nM,BT-549
1,Everolimus,Dactolisib,1,3,63,nM,nM,BT-549
1,Everolimus,Dactolisib,1,10,45,nM,nM,BT-549
1,Everolimus,Dactolisib,1,30,32,nM,nM,BT-549
1,Everolimus,Dactolisib,1,100,30,nM,nM,BT-549
1,Everolimus,Dactolisib,1,300,31,nM,nM,BT-549
1,Everolimus,Dactolisib,3,0,78,nM,nM,BT-549
1,Everolimus,Dactolisib,3,0.3,79,nM,nM,BT-549
1,Everolimus,Dactolisib,3,1,68,nM,nM,BT-549
1,Everolimus,Dactolisib,3,3,56,nM,nM,BT-549
1,Everolimus,Dactolisib,3,10,40,nM,nM,BT-549
1,Everolimus,Dactolisib,3,30,32,nM,nM,BT-549
1,Everolimus,Dactolisib,3,100,27,nM,nM,BT-549
1,Everolimus,Dactolisib,3,300,27,nM,nM,BT-549
1,Everolimus,Dactolisib,10,0,76,nM,nM,BT-549
1,Everolimus,Dactolisib,10,0.3,76,nM,nM,BT-549
1,Everolimus,Dactolisib,10,1,70,nM,nM,BT-549
1,Everolimus,Dactolisib,10,3,53,nM,nM,BT-549
1,Everolimus,Dactolisib,10,10,38,nM,nM,BT-549
1,Everolimus,Dactolisib,10,30,30,nM,nM,BT-549
1,Everolimus,Dactolisib,10,100,26,nM,nM,BT-549
1,Everolimus,Dactolisib,10,300,28,nM,nM,BT-549
1,Everolimus,Dactolisib,30,0,74,nM,nM,BT-549
1,Everolimus,Dactolisib,30,0.3,73,nM,nM,BT-549
1,Everolimus,Dactolisib,30,1,66,nM,nM,BT-549
1,Everolimus,Dactolisib,30,3,51,nM,nM,BT-549
1,Everolimus,Dactolisib,30,10,38,nM,nM,BT-549
1,Everolimus,Dactolisib,30,30,28,nM,nM,BT-549
1,Everolimus,Dactolisib,30,100,28,nM,nM,BT-549
1,Everolimus,Dactolisib,30,300,30,nM,nM,BT-549
1,Everolimus,Dactolisib,100,0,70,nM,nM,BT-549
1,Everolimus,Dactolisib,100,0.3,71,nM,nM,BT-549
1,Everolimus,Dactolisib,100,1,67,nM,nM,BT-549
1,Everolimus,Dactolisib,100,3,48,nM,nM,BT-549
1,Everolimus,Dactolisib,100,10,40,nM,nM,BT-549
1,Everolimus,Dactolisib,100,30,31,nM,nM,BT-549
1,Everolimus,Dactolisib,100,100,27,nM,nM,BT-549
1,Everolimus,Dactolisib,100,300,27,nM,nM,BT-549
