GDSC,NCI-60,COSMIC,CCLE,TISSUE
CCRF-CEM,CCRF-CEM,905952,CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood
HL-60,HL-60(TB),905938,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood
K-562,K-562,905940,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood
MOLT-4,MOLT-4,905958,MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood
RPMI-8226,RPMI-8226,905964,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood
SR,SR,905965,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Blood
MCF7,MCF7,905946,MCF7_BREAST,Breast
MDA-MB-468,MDA-MB-468,908123,MDAMB468_BREAST,Breast
T47D,T-47D,905945,T47D_BREAST,Breast
BT-549,BT-549,905951,BT549_BREAST,Breast
Hs-578-T,HS 578T,905957,HS578T_BREAST,Breast
MDA-MB-231,MDA-MB-231/ATCC,905960,MDAMB231_BREAST,Breast
SF268,SF-268,905986,SF268_CENTRAL_NERVOUS_SYSTEM,CNS
SF295,SF-295,905985,SF295_CENTRAL_NERVOUS_SYSTEM,CNS
SF539,SF-539,905984,SF539_CENTRAL_NERVOUS_SYSTEM,CNS
,SNB-19,905983,SNB19_CENTRAL_NERVOUS_SYSTEM,CNS
SNB75,SNB-75,905982,SNB75_CENTRAL_NERVOUS_SYSTEM,CNS
U251,U251,905983,U251MG_CENTRAL_NERVOUS_SYSTEM,CNS
SF539,SF-539,905984,SF539_CENTRAL_NERVOUS_SYSTEM,CNS
COLO-205,COLO 205,905961,COLO205_LARGE_INTESTINE,Intestine
HCC2998,HCC-2998,905971,HCC2998_LARGE_INTESTINE,Intestine
HCT-15,HCT-15,905937,HCT15_LARGE_INTESTINE,Intestine
HCT-116,HCT-116,905936,HCT116_LARGE_INTESTINE,Intestine
HT-29,HT29,905939,HT29_LARGE_INTESTINE,Intestine
KM12,KM12,905989,KM12_LARGE_INTESTINE,Intestine
SW620,SW-620,905962,SW620_LARGE_INTESTINE,Intestine
786-0,786-0,905947,786O_KIDNEY,Kidney
A498,A498,905948,A498_KIDNEY,Kidney
ACHN,ACHN,905950,ACHN_KIDNEY,Kidney
TK10,TK-10,905980,TK10_KIDNEY,Kidney
RXF393,RXF 393,905978,RXF393_KIDNEY,Kidney
SN12C,SN12C,905979,SN12C_KIDNEY,Kidney
U031,UO-31,905981,UO31_KIDNEY,Kidney
CAKI-1,CAKI-1,905963,CAKI1_KIDNEY,Kidney
A549,A549/ATCC,905949,A549_LUNG,Lung
EKVX,EKVX,905970,EKVX_LUNG,Lung
HOP-62,HOP-62,905972,HOP62_LUNG,Lung
HOP-92,HOP-92,905973,HOP92_LUNG,Lung
NCI-H23,NCI-H23,905942,NCIH23_LUNG,Lung
NCI-H226,NCI-H226,905941,NCIH226_LUNG,Lung
NCI-H322M,NCI-H322M,905967,NCIH322_LUNG,Lung
NCI-H460,NCI-H460,905943,NCIH460_LUNG,Lung
NCI-H522,NCI-H522,905944,NCIH522_LUNG,Lung
IGROV-1,IGROV1,905968,IGROV1_OVARY,Ovary
OVCAR-8,NCI/ADR-RES,905991,OVCAR8_OVARY,Ovary
OVCAR-4,OVCAR-4,905990,OVCAR4_OVARY,Ovary
OVCAR-8,OVCAR-8,905991,OVCAR8_OVARY,Ovary
SK-OV-3,SK-OV-3,905959,SKOV3_OVARY,Ovary
OVCAR-5,OVCAR-5,905969,OVCAR5_OVARY,Ovary
OVCAR-3,OVCAR-3,905933,NIHOVCAR3_OVARY,Ovary
DU-145,DU-145,905935,DU145_PROSTATE,Prostate
PC-3,PC-3,905934,PC3_PROSTATE,Prostate
LOXIMVI,LOX IMVI,905974,LOXIMVI_SKIN,Skin
,MALME-3M,,MALME3M_SKIN,Skin
UACC-257,UACC-257,905977,UACC257_SKIN,Skin
M14,M14,905975,M14_SKIN,Skin
MDA-MB-435,MDA-MB-435,,MDAMB435S_SKIN,Skin
UACC-62,UACC-62,905976,UACC62_SKIN,Skin
SK-MEL-5,SK-MEL-5,905956,SKMEL5_SKIN,Skin
SK-MEL-2,SK-MEL-2,905955,SKMEL2_SKIN,Skin
SK-MEL-28,SK-MEL-28,905954,SKMEL28_SKIN,Skin
